id,parent_id,name,bn_name
133,14,Pediatric rheumatology,পেডিয়াট্রিক রিউমাটোলজি
134,14,Pediatric sports medicine,পেডিয়াট্রিক স্পোর্টস মেডিসিন
135,14,Pediatric transplant hepatology,পেডিয়াট্রিক ট্রান্সপ্ল্যান্ট হেপাটোলজি
136,15,Brain injury medicine,মস্তিষ্কের আঘাতের ওষুধ
137,15,Hospice and palliative medicine,ধর্মশালা এবং উপশমকারী ওষুধ
138,15,Neuromuscular medicine,নিউরোমাসকুলার ঔষধ
139,15,Pain medicine,ব্যথার ওষুধ
140,15,Pediatric rehabilitation medicine,পেডিয়াট্রিক পুনর্বাসন ওষুধ
141,15,Spinal cord injury medicine,মেরুদণ্ডের আঘাতের ওষুধ
142,15,Sports medicine,খেলাধুলার ওষুধ
143,16,Aerospace medicine,মহাকাশ ওষুধ
144,16,Medical toxicology,মেডিকেল টক্সিকোলজি
145,16,Occupational medicine,পেশাগত ঔষধ
146,16,Public health medicine,পাবলিক হেলথ মেডিসিন
147,17,Addiction psychiatry,আসক্তি মনোচিকিৎসা
148,17,Administrative psychiatry,প্রশাসনিক মনোরোগবিদ্যা
149,17,Child and adolescent psychiatry,শিশু এবং কিশোর মনোরোগবিদ্যা
150,17,Community psychiatry,কমিউনিটি সাইকিয়াট্রি
151,17,Consultation/liaison psychiatry,পরামর্শ/যোগাযোগ মনোরোগবিদ্যা
152,17,Emergency psychiatry,জরুরী মনোরোগ
153,17,Forensic psychiatry,ফরেনসিক সাইকিয়াট্রি
154,17,Geriatric psychiatry,জেরিয়াট্রিক সাইকিয়াট্রি
155,17,Mental retardation psychiatry,মানসিক প্রতিবন্ধী মনোচিকিৎসা
156,17,Military psychiatry,মিলিটারি সাইকিয়াট্রি
157,17,Pain medicine,ব্যথার ওষুধ
158,17,Psychiatric research,মনস্তাত্ত্বিক গবেষণা
159,17,Psychosomatic medicine,সাইকোসোমেটিক ঔষধ
160,18,Hospice and palliative medicine,ধর্মশালা এবং উপশমকারী ওষুধ
161,18,Pain medicine,ব্যথার ওষুধ
162,19,Colon and rectal surgery,কোলন এবং রেকটাল সার্জারি
163,19,General surgery,সাধারণ শল্য চিকিৎসা
164,19,Gynecologic oncology,গাইনোকোলজিক অনকোলজি
165,19,Plastic surgery,প্লাস্টিক সার্জারি
166,19,Neurological surgery,স্নায়বিক অস্ত্রোপচার
167,19,Ophthalmic surgery,চক্ষু সার্জারি
168,19,Oral and maxillofacial surgery,ওরাল এবং ম্যাক্সিলোফেসিয়াল সার্জারি
169,19,Orthopaedic surgery,অর্থোপেডিক সার্জারি
170,19,Otolaryngology,অটোলারিঙ্গোলজি
171,19,Otology neurotology,অটোলজি নিউরোটোলজি
172,19,Pediatric surgery,পেডিয়াট্রিক সার্জারি
173,19,"Surgical Intensivists, specializing in critical care patients","সার্জিক্যাল ইনটেনসিভিস্ট, ক্রিটিক্যাল কেয়ার রোগীদের বিশেষজ্ঞ"
174,19,Thoracic Surgery,থোরাসিক সার্জারি
175,19,Vascular surgery,রক্তনালীর শল্যচিকিৎসা
176,20,Pediatric urology,পেডিয়াট্রিক ইউরোলজি
177,20,Urologic oncology,ইউরোলজিক অনকোলজি
178,20,Renal transplant,রেনাল ট্রান্সপ্লান্ট
179,20,Male infertility,পুরুষ বন্ধ্যাত্ব
180,20,Calculi,ক্যালকুলী
181,20,Female urology,মহিলা ইউরোলজি
182,20,Neurourology,নিউরোলজি
183,163,Surgical critical care,সার্জিক্যাল ক্রিটিক্যাল কেয়ার
184,165,Craniofacial surgery,ক্র্যানিওফেসিয়াল সার্জারি
185,165,Hand surgery,হাতের অস্ত্রোপচার
186,166,Endovascular surgical neuroradiology,এন্ডোভাসকুলার সার্জিক্যাল নিউরোডিওলজি
187,169,Adult reconstructive orthopaedics,প্রাপ্তবয়স্ক পুনর্গঠনমূলক অর্থোপেডিকস
188,169,Foot and ankle orthopaedics,পা এবং গোড়ালি অর্থোপেডিকস
189,169,Musculoskeletal oncology,Musculoskeletal অনকোলজি
190,169,Orthopaedic sports medicine,অর্থোপেডিক ক্রীড়া ঔষধ
191,169,Orthopaedic surgery of the spine,মেরুদণ্ডের অর্থোপেডিক সার্জারি
206,169,Orthopaedic trauma,অর্থোপেডিক ট্রমা
207,169,Pediatric orthopaedics,পেডিয়াট্রিক অর্থোপেডিকস
208,170,Pediatric otolaryngology,পেডিয়াট্রিক অটোল্যারিঙ্গোলজি
209,172,Neonatal,নবজাতক
192,172,Prenatal,জন্মপূর্ব
193,172,Trauma,ট্রমা
194,172,Pediatric oncology,পেডিয়াট্রিক অনকোলজি
195,174,Congenital cardiac surgery,জন্মগত কার্ডিয়াক সার্জারি
196,174,Thoracic surgery-integrated,থোরাসিক সার্জারি-ইন্টিগ্রেটেড
